id;item_type;fn1;fn2;s1;picA_val;picB_val;sentence1
1;ITEM_PRACTICE;W_1_A;W_1_B;Sommigen spelen met een bal;PIC_PRACTICE;PIC_PRACTICE;SEN_PRACTICE
2;ITEM_PRACTICE;W_2_B;W_2_A;Het meisje ziet dat het slecht weer is;PIC_PRACTICE;PIC_PRACTICE;SEN_PRACTICE
